"";"Município";"dom";"int";"cod_mun"
"2109";"ibiraçu";0;0;"3202504"
"2110";"ibiraiaras";0;0;"4309902"
"2111";"ibirajuba";0;0;"2606705"
"2112";"ibirama";0;0;"4206900"
"2113";"ibirapitanga";0;0;"2912707"
"2114";"ibirapuã";0;0;"2912806"
"2115";"ibirapuitã";0;0;"4309951"
"2116";"ibirarema";0;0;"3519501"
"2117";"ibirataia";0;0;"2912905"
"2118";"ibirité";0;0;"3129806"
"2119";"ibirubá";0;0;"4310009"
"2120";"ibitiara";0;0;"2913002"
"2121";"ibitinga";0;0;"3519600"
"2122";"ibitirama";0;0;"3202553"
"2123";"ibititá";0;0;"2913101"
"2124";"ibitiúra de minas";0;0;"3129905"
"2125";"ibituruna";0;0;"3130002"
"2126";"ibiúna";0;0;"3519709"
"2127";"ibotirama";0;0;"2913200"
"2128";"icapuí";0;0;"2305357"
"2129";"içara";0;0;"4207007"
"2130";"icaraí de minas";0;0;"3130051"
"2131";"icaraíma";0;0;"4109906"
"2132";"icatu";0;0;"2105104"
"2133";"icém";0;0;"3519808"
"2134";"ichu";0;0;"2913309"
"2135";"icó";0;0;"2305407"
"2136";"iconha";0;0;"3202603"
"2137";"ielmo marinho";0;0;"2404606"
"2138";"iepê";0;0;"3519907"
"2139";"igaci";0;0;"2703106"
"2140";"igaporã";0;0;"2913408"
"2141";"igaraçu do tietê";0;0;"3520004"
"2142";"igaracy";0;0;"2502607"
"2143";"igarapava";0;0;"3520103"
"2144";"igarapé";0;0;"3130101"
"2145";"igarapé-açu";0;0;"1503200"
"2146";"igarapé-miri";0;0;"1503309"
"2147";"igarapé do meio";0;0;"2105153"
"2148";"igarapé grande";0;0;"2105203"
"2149";"igarassu";0;0;"2606804"
"2150";"igaratá";0;0;"3520202"
"2151";"igaratinga";0;0;"3130200"
"2152";"igrapiúna";0;0;"2913457"
"2153";"igreja nova";0;0;"2703205"
"2154";"igrejinha";0;0;"4310108"
"2155";"iguaba grande";0;0;"3301876"
"2156";"iguaí";0;0;"2913507"
"2157";"iguape";0;0;"3520301"
"2158";"iguaraçu";0;0;"4110003"
"2159";"iguaracy";0;0;"2606903"
"2160";"iguatama";0;0;"3130309"
"2161";"iguatemi";0;0;"5004304"
"2162";"iguatu";4;0;"4110052"
"2163";"iguatu";4;0;"2305506"
"2164";"ijaci";0;0;"3130408"
"2165";"ijuí";0;0;"4310207"
"2166";"ilha comprida";0;0;"3520426"
"2167";"ilha das flores";0;0;"2802700"
"2168";"ilha de itamaracá";0;0;"2607604"
"2169";"ilha grande";0;0;"2204659"
"2170";"ilha solteira";0;0;"3520442"
"2171";"ilhabela";0;0;"3520400"
"2172";"ilhéus";206;0;"2913606"
"2173";"ilhota";0;0;"4207106"
"2174";"ilicínea";0;0;"3130507"
"2175";"ilópolis";0;0;"4310306"
"2176";"imaculada";0;0;"2506707"
"2177";"imaruí";0;0;"4207205"
"2178";"imbaú";0;0;"4110078"
"2179";"imbé";0;0;"4310330"
"2180";"imbé de minas";0;0;"3130556"
"2181";"imbituba";0;0;"4207304"
"2182";"imbituva";0;0;"4110102"
"2183";"imbuia";0;0;"4207403"
"2184";"imigrante";0;0;"4310363"
"2185";"imperatriz";86;0;"2105302"
"2186";"inácio martins";0;0;"4110201"
"2187";"inaciolândia";0;0;"5209937"
"2188";"inajá";0;0;"2607000"
"2189";"inajá";0;0;"4110300"
"2190";"inconfidentes";0;0;"3130606"
"2191";"indaiabira";0;0;"3130655"
"2192";"indaial";0;0;"4207502"
"2193";"indaiatuba";0;0;"3520509"
"2194";"independência";0;0;"2305605"
"2195";"independência";0;0;"4310405"
"2196";"indiana";0;0;"3520608"
"2197";"indianópolis";0;0;"3130705"
"2198";"indianópolis";0;0;"4110409"
"2199";"indiaporã";0;0;"3520707"
"2200";"indiara";0;0;"5209952"
"2201";"indiaroba";0;0;"2802809"
"2202";"indiavaí";0;0;"5104500"
"2203";"ingá";0;0;"2506806"
"2204";"ingaí";0;0;"3130804"
"2205";"ingazeira";0;0;"2607109"
"2206";"inhacorá";0;0;"4310413"
"2207";"inhambupe";0;0;"2913705"
"2208";"inhangapi";0;0;"1503408"
"2209";"inhapi";0;0;"2703304"
"2210";"inhapim";0;0;"3130903"
"2211";"inhaúma";0;0;"3131000"
"2212";"inhuma";0;0;"2204709"
"2213";"inhumas";0;0;"5210000"
"2214";"inimutaba";0;0;"3131109"
"2215";"inocência";0;0;"5004403"
"2216";"inúbia paulista";0;0;"3520806"
"2217";"iomerê";0;0;"4207577"
"2218";"ipaba";0;0;"3131158"
"2219";"ipameri";0;0;"5210109"
"2220";"ipanema";0;0;"3131208"
"2221";"ipanguaçu";0;0;"2404705"
"2222";"ipaporanga";0;0;"2305654"
"2223";"ipatinga";0;0;"3131307"
"2224";"ipaumirim";0;0;"2305704"
"2225";"ipaussu";0;0;"3520905"
"2226";"ipê";0;0;"4310439"
"2227";"ipecaetá";0;0;"2913804"
"2228";"iperó";0;0;"3521002"
"2229";"ipeúna";0;0;"3521101"
"2230";"ipiaçu";0;0;"3131406"
"2231";"ipiaú";0;0;"2913903"
"2232";"ipiguá";0;0;"3521150"
"2233";"ipira";0;0;"4207601"
"2234";"ipirá";0;0;"2914000"
"2235";"ipiranga";0;0;"4110508"
"2236";"ipiranga de goiás";0;0;"5210158"
"2237";"ipiranga do norte";0;0;"5104526"
"2238";"ipiranga do piauí";0;0;"2204808"
"2239";"ipiranga do sul";0;0;"4310462"
"2240";"ipixuna";0;0;"1301803"
"2241";"ipixuna do pará";0;0;"1503457"
"2242";"ipojuca";0;0;"2607208"
"2243";"iporá";0;0;"5210208"
"2244";"iporã";0;0;"4110607"
"2245";"iporã do oeste";0;0;"4207650"
"2246";"iporanga";0;0;"3521200"
"2247";"ipu";0;0;"2305803"
"2248";"ipuã";0;0;"3521309"
"2249";"ipuaçu";0;0;"4207684"
"2250";"ipubi";0;0;"2607307"
"2251";"ipueira";0;0;"2404804"
"2252";"ipueiras";0;0;"1709807"
"2253";"ipueiras";0;0;"2305902"
"2254";"ipuiúna";0;0;"3131505"
"2255";"ipumirim";0;0;"4207700"
"2256";"ipupiara";0;0;"2914109"
"2257";"iracema";0;0;"1400282"
